dt,temp,humidity,wind_speed,city,id
11/29/2021,-1.759999999999991,97,2.71,keen,2190550970342338002
11/29/2021,-1.75,96,2.01,keen,599519162043497441
11/29/2021,-1.7900000000000205,95,2.07,keen,645635978247309808
11/29/2021,-1.5600000000000023,95,2.2,keen,1475739769427499008
11/29/2021,-1.4700000000000273,92,2.58,keen,253642490759128590
11/29/2021,-1.7099999999999795,91,2.83,keen,276700898861036573
11/29/2021,-1.660000000000025,91,3.02,keen,830103243062559277
11/29/2021,-1.6499999999999773,91,3.08,keen,991512099775893565
11/29/2021,-0.9300000000000068,88,3.8,keen,2006083155771317835
11/29/2021,-0.7699999999999818,89,4.25,keen,1106804690041236573
11/29/2021,-0.6700000000000159,89,4.59,keen,2121375196280846957
11/29/2021,-0.4700000000000273,85,4.53,keen,138350450249631866
11/29/2021,-0.8199999999999932,80,4.77,keen,2190550970342381188
11/29/2021,-1.2699999999999818,79,4.67,keen,922337425226015891
11/29/2021,-1.5,76,4.05,keen,1268213546754585247
11/29/2021,-1.740000000000009,75,3.66,keen,2121375746036678829
11/29/2021,-3.069999999999993,78,3.07,keen,1638223551
11/29/2021,-4.199999999999989,83,3.08,keen,2029141563873254610
12/03/2021,8.069999999999993,96,1.34,Concord,945395283572383610
12/03/2021,7.670000000000016,96,2.68,Concord,807045384716774795
12/03/2021,7.189999999999998,95,3.6,Concord,1821615890956385178
12/03/2021,5.800000000000011,94,2.06,Concord,1983024747669719462
12/03/2021,5.329999999999984,94,2.06,Concord,899278467368589238
12/03/2021,4.980000000000018,94,3.09,Concord,161408858351838663
12/03/2021,4.550000000000011,93,4.63,Concord,415051897228604375
12/03/2021,3.680000000000007,91,4.12,Concord,1844674299058307555
12/03/2021,3.5299999999999727,87,5.14,Concord,1544914993733554160
12/03/2021,3.680000000000007,83,7.72,Concord,922337425226325503
12/03/2021,2.7900000000000205,75,7.2,Concord,2282784602750315525
12/03/2021,1.4700000000000273,78,7.08,Concord,1268213546754898455
12/03/2021,1.5600000000000023,71,7.2,Concord,1752440666650708000
12/03/2021,1.1200000000000045,68,10.29,Concord,945395283572430384
12/03/2021,1.0299999999999727,64,8.23,Concord,599519162043868218
12/03/2021,1.6999999999999886,62,6.17,Concord,2006083705527480902
12/03/2021,1.920000000000016,58,8.23,Concord,345876672922927189
12/03/2021,2.8500000000000227,54,6.69,Concord,1245155138653015648
12/03/2021,3.0400000000000205,48,8.23,Concord,622577570145786988
12/03/2021,2.730000000000018,46,10.29,Concord,46116817842367100
12/03/2021,2.569999999999993,44,5.66,Concord,530343937738176645
